Variable,Coefficient,Std.Err,p-value,CI Lower,CI Upper
enjoyment_fun:age_group[T.31-40],0.1182673819019793,0.11363578355874464,0.29798775025197166,-0.104454661228149,0.3409894250321076
enjoyment_fun:age_group[T.41-50],0.1777309873393916,0.1389939400521765,0.20100414867178906,-0.09469212923219364,0.4501541039109769
enjoyment_fun:age_group[T.51+],-0.20993705359706666,0.19014969959350067,0.2695662529600146,-0.5826236164714385,0.1627495092773052
enjoyment_attention,-0.10454918784636129,0.044878176274776485,0.0198261370721492,-0.19250879703676313,-0.016589578655959447
enjoyment_attention:age_group[T.21-30],0.06259014973916642,0.05263426431535355,0.23437979127495578,-0.040571112671688295,0.16575141215002115
enjoyment_attention:age_group[T.31-40],0.12183894951761878,0.054999224165609845,0.026740517231407364,0.014042450975378484,0.22963544805985908
enjoyment_attention:age_group[T.41-50],0.018671666030089594,0.07486107430677336,0.8030378081374384,-0.12805334345516298,0.16539667551534218
enjoyment_attention:age_group[T.51+],0.08720438414740217,0.0896450612641063,0.33066564126817577,-0.08849670732213288,0.2629054756169372
enjoymen_boring,0.017067310490597107,0.059307847920550966,0.7735190456020995,-0.09917393543426152,0.13330855641545575
enjoymen_boring:age_group[T.21-30],-0.1003242516551508,0.06745303009378217,0.1369302718917956,-0.2325297612870603,0.0318812579767587
enjoymen_boring:age_group[T.31-40],-0.14783102271033058,0.07094327248355418,0.037179092561667314,-0.28687728172350824,-0.008784763697152947
enjoymen_boring:age_group[T.41-50],-0.19031129895963936,0.08787345224403896,0.03033084435535266,-0.3625401005551561,-0.018082497364122596
enjoymen_boring:age_group[T.51+],-0.032985826630303375,0.12382783090498016,0.7899430278761758,-0.2756839154877803,0.2097122622271736
enjoyment_enjoyed,0.2107982407552266,0.07856392808163015,0.007293383296871703,0.05681577123123652,0.36478071027921666
enjoyment_enjoyed:age_group[T.21-30],-0.05320121028241495,0.090512604002724,0.5566821067691134,-0.23060265427468993,0.12420023370986003
enjoyment_enjoyed:age_group[T.31-40],-0.1224207170867494,0.09613636074992425,0.2028736460218673,-0.310844521761351,0.0660030875878522
enjoyment_enjoyed:age_group[T.41-50],-0.07195886282973153,0.1288656889233579,0.576569884092499,-0.3245309719624552,0.18061324630299214
enjoyment_enjoyed:age_group[T.51+],0.0161109706658622,0.17006690510637743,0.9245268003353603,-0.3172140383048286,0.349435979636553
extrinsic_avoid,-0.038438801501592276,0.036118271899506865,0.28721633171639294,-0.10922931360845081,0.03235171060526626
extrinsic_avoid:age_group[T.21-30],-0.0025486564677760577,0.04089259024952301,0.9503035180075109,-0.08269666059139495,0.07759934765584282
extrinsic_avoid:age_group[T.31-40],-0.013985314103305325,0.04305099964717008,0.745291139291509,-0.09836372291020526,0.07039309470359462
extrinsic_avoid:age_group[T.41-50],-0.04980028498936643,0.055667311377893484,0.3709979909022394,-0.15890621040621444,0.05930564042748158
extrinsic_avoid:age_group[T.51+],0.001720729849373976,0.06840336910234489,0.9799308278119488,-0.13234741001242195,0.13578886971116988
extrinsic_forget,-0.005918627358428406,0.048317102960841816,0.9025066149999237,-0.10061840899899198,0.08878115428213516
extrinsic_forget:age_group[T.21-30],-0.018143259214527224,0.05394116329344549,0.736604867453406,-0.12386599655387436,0.0875794781248199
extrinsic_forget:age_group[T.31-40],-0.013152023051576252,0.055137213605452914,0.8114680318974874,-0.12121897592615583,0.09491492982300331
extrinsic_forget:age_group[T.41-50],-0.08775527437141889,0.06578485289434564,0.1822124223785363,-0.2166912167726019,0.04118066802976411
extrinsic_forget:age_group[T.51+],0.02180652302601646,0.07777004823498612,0.7791725950506085,-0.13061997059049912,0.17423301664253205
extrinsic_compelled,-0.013550555984893372,0.036540397626853335,0.7107584406959238,-0.08516841931429876,0.05806730734451202
extrinsic_compelled:age_group[T.21-30],-0.01060431377100023,0.041032909298728514,0.7960716993513728,-0.0910273381774068,0.06981871063540634
extrinsic_compelled:age_group[T.31-40],0.04474964337233834,0.042986528788582744,0.2978683479649492,-0.039502404873678044,0.12900169161835473
extrinsic_compelled:age_group[T.41-50],0.10055180498117261,0.05490904628713307,0.06706428572993318,-0.007067948167050989,0.2081715581293962
extrinsic_compelled:age_group[T.51+],-0.031746794409379754,0.06600152905014998,0.630515864079755,-0.16110741427224784,0.09761382545348835
extrinsic_escape,0.050457620209064385,0.049171285154343866,0.3048160359330654,-0.045916327766998624,0.14683156818512738
extrinsic_escape:age_group[T.21-30],-0.03409347872519076,0.055122123544385566,0.536240474142558,-0.14213085562355382,0.07394389817317229
extrinsic_escape:age_group[T.31-40],-0.051370330184578185,0.05670987487133221,0.3650181455314837,-0.16251964250016235,0.05977898213100597
extrinsic_escape:age_group[T.41-50],-0.08407162006603283,0.07024696414812139,0.23138422206529863,-0.22175313981962713,0.05360989968756147
extrinsic_escape:age_group[T.51+],-0.0068461838078224405,0.08228297242478855,0.933690188689693,-0.1681178463013104,0.1544254786856655
Group Var,1.0,9306325.199613802,0.9999999142642726,-18240061.21966058,18240063.21966058
